Id,SalePrice
1461,106855.18
1462,152117.55
1463,194830.47
1464,207444.61
1465,226727.81
1466,182232.23
1467,183370.86
1468,170626.94
1469,217462.23
1470,122882.16
1471,164743.19
1472,102426.67
1473,94921.11
1474,147841.64
1475,97030.86
1476,394166.75
1477,282129.56
1478,342757.5
1479,342838.0
1480,491990.06
1481,334115.34
1482,235932.34
1483,187099.9
1484,181299.16
1485,211068.88
1486,205926.98
1487,373699.56
1488,241238.52
1489,210294.05
1490,269606.8
1491,218454.58
1492,94441.77
1493,215637.72
1494,341048.1
1495,312098.3
1496,262922.56
1497,184552.03
1498,193406.25
1499,174005.23
1500,164460.92
1501,206659.2
1502,147001.48
1503,355568.06
1504,258887.73
1505,240678.7
1506,199700.23
1507,261456.39
1508,203755.64
1509,161650.05
1510,151526.64
1511,159766.16
1512,179328.39
1513,169216.2
1514,163474.11
1515,212862.62
1516,158537.45
1517,177107.7
1518,127992.56
1519,229288.72
1520,120497.36
1521,128304.53
1522,198225.89
1523,108939.945
1524,112999.64
1525,104618.47
1526,102896.82
1527,100011.14
1528,117872.52
1529,163943.95
1530,216675.95
1531,151813.39
1532,86506.33
1533,157960.58
1534,125886.89
1535,138325.33
1536,84449.516
1537,40976.01
1538,153788.72
1539,223441.31
1540,120231.984
1541,140457.05
1542,159776.67
1543,167797.34
1544,76874.92
1545,113362.195
1546,149738.61
1547,141230.64
1548,152873.06
1549,132832.0
1550,159472.61
1551,95844.516
1552,167445.77
1553,153472.4
1554,113169.195
1555,151844.23
1556,53671.684
1557,123568.67
1558,104820.1
1559,51547.254
1560,123715.05
1561,142284.05
1562,132134.89
1563,125596.09
1564,164561.14
1565,164744.94
1566,230462.58
1567,63318.47
1568,239605.03
1569,122265.94
1570,139638.3
1571,74459.63
1572,133790.22
1573,277528.06
1574,138039.36
1575,252416.08
1576,250956.61
1577,203189.58
1578,164364.17
1579,140684.08
1580,210795.11
1581,166462.2
1582,143464.48
1583,291633.88
1584,241928.89
1585,145065.48
1586,61305.203
1587,115981.78
1588,151124.23
1589,101469.48
1590,124543.586
1591,77980.516
1592,115654.55
1593,145401.05
1594,165030.8
1595,116284.99
1596,230600.62
1597,227954.92
1598,231534.72
1599,200002.8
1600,187106.72
1601,43156.33
1602,130853.56
1603,45590.953
1604,281151.0
1605,245262.42
1606,158530.08
1607,181554.02
1608,231609.52
1609,203599.64
1610,164036.23
1611,139436.45
1612,195556.3
1613,173297.02
1614,137647.61
1615,88924.45
1616,63705.69
1617,82143.086
1618,137133.61
1619,155902.66
1620,195097.03
1621,131042.25
1622,159624.14
1623,260271.67
1624,208958.08
1625,111936.09
1626,182206.55
1627,198114.06
1628,298325.97
1629,199442.39
1630,366861.44
1631,267765.0
1632,260835.45
1633,205971.05
1634,196934.64
1635,185252.61
1636,158991.56
1637,202033.11
1638,196803.11
1639,194009.02
1640,253250.8
1641,188905.58
1642,275588.56
1643,238768.14
1644,255796.52
1645,218934.19
1646,172809.53
1647,168435.8
1648,134399.9
1649,133714.36
1650,110855.266
1651,113568.43
1652,97832.39
1653,94683.06
1654,151846.08
1655,122653.3
1656,146479.52
1657,161021.11
1658,159807.47
1659,117249.84
1660,154041.44
1661,445139.38
1662,404480.7
1663,401276.47
1664,550806.44
1665,354273.5
1666,336812.12
1667,390882.5
1668,385122.3
1669,350716.06
1670,383528.88
1671,283393.72
1672,421977.78
1673,321492.7
1674,271584.2
1675,220291.31
1676,223713.6
1677,232710.62
1678,477794.5
1679,407067.62
1680,352033.72
1681,302815.3
1682,342707.56
1683,211364.45
1684,188986.14
1685,190282.42
1686,180249.8
1687,181357.52
1688,196832.42
1689,206365.27
1690,209627.42
1691,202115.23
1692,281301.94
1693,198577.39
1694,202199.25
1695,194462.61
1696,286204.06
1697,199814.2
1698,360753.0
1699,361230.38
1700,291708.94
1701,304999.03
1702,244448.19
1703,245602.39
1704,285968.16
1705,270801.62
1706,276518.62
1707,240249.39
1708,219698.3
1709,266171.75
1710,241378.86
1711,297160.7
1712,268721.62
1713,299454.88
1714,234251.08
1715,230300.19
1716,193524.12
1717,194392.23
1718,148274.95
1719,240274.66
1720,266884.62
1721,161498.86
1722,117318.9
1723,162041.34
1724,234062.42
1725,270080.8
1726,198714.7
1727,167004.8
1728,173255.66
1729,190611.25
1730,168625.95
1731,116147.53
1732,129409.766
1733,109348.39
1734,127624.24
1735,101450.3
1736,91088.52
1737,297082.38
1738,287866.9
1739,263998.56
1740,224981.73
1741,196905.95
1742,188295.45
1743,183092.8
1744,351445.2
1745,225194.36
1746,217581.66
1747,230069.92
1748,239842.81
1749,138572.2
1750,122096.125
1751,247832.89
1752,104153.19
1753,159444.27
1754,207569.08
1755,176181.52
1756,151650.03
1757,116788.55
1758,160235.58
1759,165009.31
1760,172899.81
1761,147594.38
1762,197220.53
1763,195302.64
1764,117111.375
1765,168634.56
1766,196736.11
1767,219707.8
1768,138031.16
1769,168263.77
1770,156268.8
1771,117023.234
1772,124886.37
1773,114286.3
1774,155553.23
1775,147437.19
1776,144450.44
1777,102477.195
1778,145330.7
1779,129684.16
1780,147994.11
1781,125933.61
1782,66747.67
1783,144685.92
1784,86392.66
1785,135849.78
1786,107068.06
1787,156002.17
1788,17858.6
1789,102472.55
1790,62202.54
1791,216234.14
1792,166273.53
1793,140788.27
1794,163970.31
1795,132331.84
1796,158048.06
1797,111448.35
1798,124444.13
1799,94264.414
1800,133821.58
1801,119540.766
1802,105150.08
1803,168273.08
1804,120491.3
1805,134472.38
1806,121074.05
1807,154747.14
1808,129115.33
1809,131757.03
1810,146197.64
1811,123750.89
1812,97309.28
1813,134542.33
1814,100463.125
1815,34487.305
1816,85723.97
1817,113048.33
1818,151749.58
1819,121762.43
1820,6090.342
1821,99660.08
1822,162624.67
1823,22077.56
1824,123981.914
1825,151105.92
1826,88407.58
1827,98076.97
1828,145123.44
1829,147579.52
1830,150416.61
1831,156049.84
1832,11269.899
1833,159828.92
1834,110492.12
1835,103108.44
1836,123853.26
1837,68936.19
1838,111565.72
1839,107309.805
1840,164110.36
1841,128489.5
1842,61782.117
1843,139457.08
1844,166766.06
1845,148659.14
1846,163908.7
1847,177046.81
1848,19789.645
1849,110523.91
1850,109722.16
1851,137463.62
1852,119889.14
1853,118731.34
1854,165537.8
1855,173498.45
1856,236899.25
1857,118052.69
1858,155725.1
1859,117345.84
